Australian Bureau of Statistics

"2011 Census - Counting Dwellings, Place of Enumeration"
"POA by DWTD Dwelling Type"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"

"Counting","POA","DWTD Dwelling Type","Count",
"Dwellings, Location on Census Night","2137, NSW","Occupied private dwellings",8807
"Dwellings, Location on Census Night","2137, NSW","Total",8807
"Dwellings, Location on Census Night","2138, NSW","Occupied private dwellings",5191
"Dwellings, Location on Census Night","2138, NSW","Total",5191
"Dwellings, Location on Census Night","2139, NSW","Occupied private dwellings",3
"Dwellings, Location on Census Night","2139, NSW","Total",3
"Dwellings, Location on Census Night","2140, NSW","Occupied private dwellings",4521
"Dwellings, Location on Census Night","2140, NSW","Total",4521
"Dwellings, Location on Census Night","2141, NSW","Occupied private dwellings",8177
"Dwellings, Location on Census Night","2141, NSW","Total",8177
"Dwellings, Location on Census Night","2142, NSW","Occupied private dwellings",7727
"Dwellings, Location on Census Night","2142, NSW","Total",7727
"Dwellings, Location on Census Night","2143, NSW","Occupied private dwellings",2472
"Dwellings, Location on Census Night","2143, NSW","Total",2472
"Dwellings, Location on Census Night","2144, NSW","Occupied private dwellings",9963
"Dwellings, Location on Census Night","2144, NSW","Total",9963
"Dwellings, Location on Census Night","2145, NSW","Occupied private dwellings",24921
"Dwellings, Location on Census Night","2145, NSW","Total",24921
"Dwellings, Location on Census Night","2146, NSW","Occupied private dwellings",5426
"Dwellings, Location on Census Night","2146, NSW","Total",5426
"Dwellings, Location on Census Night","2147, NSW","Occupied private dwellings",12405
"Dwellings, Location on Census Night","2147, NSW","Total",12405
"Dwellings, Location on Census Night","2148, NSW","Occupied private dwellings",20090
"Dwellings, Location on Census Night","2148, NSW","Total",20090
"Dwellings, Location on Census Night","2150, NSW","Occupied private dwellings",9736
"Dwellings, Location on Census Night","2150, NSW","Total",9736
"Dwellings, Location on Census Night","2151, NSW","Occupied private dwellings",7424
"Dwellings, Location on Census Night","2151, NSW","Total",7424
"Dwellings, Location on Census Night","2152, NSW","Occupied private dwellings",4167
"Dwellings, Location on Census Night","2152, NSW","Total",4167
"Dwellings, Location on Census Night","2153, NSW","Occupied private dwellings",17401
"Dwellings, Location on Census Night","2153, NSW","Total",17401
"Dwellings, Location on Census Night","2154, NSW","Occupied private dwellings",12362
"Dwellings, Location on Census Night","2154, NSW","Total",12362
"Dwellings, Location on Census Night","2155, NSW","Occupied private dwellings",12889
"Dwellings, Location on Census Night","2155, NSW","Total",12889
"Dwellings, Location on Census Night","2156, NSW","Occupied private dwellings",3891
"Dwellings, Location on Census Night","2156, NSW","Total",3891
"Dwellings, Location on Census Night","2157, NSW","Occupied private dwellings",1172
"Dwellings, Location on Census Night","2157, NSW","Total",1172
"Dwellings, Location on Census Night","2158, NSW","Occupied private dwellings",2700
"Dwellings, Location on Census Night","2158, NSW","Total",2700
"Dwellings, Location on Census Night","2159, NSW","Occupied private dwellings",1549
"Dwellings, Location on Census Night","2159, NSW","Total",1549
"Dwellings, Location on Census Night","2160, NSW","Occupied private dwellings",11161
