POA,Occupied private dwellings
"3153, Vic",7726
"3154, Vic",1515
"3155, Vic",8351
"3156, Vic",12724
"3158, Vic",2483
"3159, Vic",851
"3160, Vic",3249
"3161, Vic",5857
"3162, Vic",6324
"3163, Vic",12746
"3165, Vic",9617
"3166, Vic",8330
"3167, Vic",3311
"3168, Vic",6181
"3169, Vic",6668
"3170, Vic",6350
"3171, Vic",6673
"3172, Vic",7601
"3173, Vic",6289
"3174, Vic",13209
"3175, Vic",17067
"3177, Vic",3708
"3178, Vic",11092
"3179, Vic",2018
"3180, Vic",2660
"3181, Vic",9165
"3182, Vic",11380
"3183, Vic",8355
"3184, Vic",7429
"3185, Vic",5207
"3186, Vic",8146
"3187, Vic",5842
"3188, Vic",6410
"3189, Vic",2096
"3190, Vic",4145
"3191, Vic",3538
"3192, Vic",8163
"3193, Vic",7029
"3194, Vic",4953
"3195, Vic",12779
"3196, Vic",9859
"3197, Vic",4567
"3198, Vic",7018
"3199, Vic",21368
"3200, Vic",2286
"3201, Vic",7098
"3202, Vic",889
"3204, Vic",10654
"3205, Vic",4533
"3206, Vic",4413
"3207, Vic",7075
"3211, Vic",472
"3212, Vic",4792
"3214, Vic",9322
"3215, Vic",8075
"3216, Vic",20213
"3217, Vic",402
"3218, Vic",5606
"3219, Vic",8544
"3220, Vic",6435
"3221, Vic",2696
"3222, Vic",4570
"3223, Vic",2885
"3224, Vic",3712
"3225, Vic",1687
"3226, Vic",4803
"3227, Vic",1670
"3228, Vic",5344
"3230, Vic",1005
"3231, Vic",555
"3232, Vic",456
"3233, Vic",761
"3235, Vic",148
"3236, Vic",108
"3237, Vic",182
"3238, Vic",79
"3239, Vic",172
"3240, Vic",698
"3241, Vic",875
"3242, Vic",305
"3243, Vic",252
"3249, Vic",1064
"3250, Vic",4736
"3251, Vic",280
"3254, Vic",140
"3260, Vic",1815
"3264, Vic",963
"3265, Vic",955
"3266, Vic",1252
"3267, Vic",98
"3268, Vic",910
"3269, Vic",388
"3270, Vic",79
"3272, Vic",698
"3273, Vic",42
"3274, Vic",139
"3275, Vic",165
"3276, Vic",182
"3277, Vic",658
"3278, Vic",147
"3280, Vic",11893
"3281, Vic",567
"3282, Vic",852
"3283, Vic",326
"3284, Vic",1319
"3285, Vic",485
"3286, Vic",254
"3287, Vic",154
"3289, Vic",292
"3292, Vic",133
"3293, Vic",117
"3294, Vic",332
"3300, Vic",4284
"3301, Vic",593
"3302, Vic",206
"3303, Vic",169
"3304, Vic",1017
"3305, Vic",5162
"3309, Vic",84
"3310, Vic",163
"3311, Vic",750
"3312, Vic",377
"3314, Vic",278
"3315, Vic",692
"3317, Vic",146
"3318, Vic",445
"3319, Vic",143
"3321, Vic",408
"3324, Vic",273
"3325, Vic",240
"3328, Vic",488
"3329, Vic",119
"3330, Vic",172
"3331, Vic",1371
"3332, Vic",313
"3333, Vic",281
"3334, Vic",199
"3335, Vic",669
"3337, Vic",11412
"3338, Vic",5754
"3340, Vic",6603
"3341, Vic",541
"3342, Vic",1193
"3345, Vic",463
"3350, Vic",21695
"3351, Vic",2806
"3352, Vic",5183
"3355, Vic",5420
"3356, Vic",5803
"3357, Vic",1180
"3360, Vic",333
"3361, Vic",361
"3363, Vic",1319
"3364, Vic",792
"3370, Vic",689
"3371, Vic",482
"3373, Vic",796
"3374, Vic",236
"3375, Vic",107
"3377, Vic",3414
"3378, Vic",127
"3379, Vic",244
"3380, Vic",2608
"3381, Vic",469
"3384, Vic",333
"3385, Vic",224
"3387, Vic",134
"3388, Vic",223
"3390, Vic",410
"3391, Vic",102
"3392, Vic",267
"3393, Vic",1191
"3395, Vic",253
"3396, Vic",243
"3400, Vic",6062
"3401, Vic",1652
"3407, Vic",150
"3409, Vic",435
"3412, Vic",111
"3413, Vic",90
"3414, Vic",721
"3418, Vic",1139
"3419, Vic",439
"3420, Vic",117
"3423, Vic",251
"3424, Vic",313
"3427, Vic",884
"3428, Vic",225
"3429, Vic",12226
"3430, Vic",155
"3431, Vic",1264
"3433, Vic",98
"3434, Vic",1526
"3435, Vic",1016
"3437, Vic",2976
"3438, Vic",747
"3440, Vic",690
"3441, Vic",482
"3442, Vic",2674
"3444, Vic",3377
"3446, Vic",230
"3447, Vic",198
"3448, Vic",278
"3450, Vic",3023
"3451, Vic",1786
"3453, Vic",598
"3458, Vic",731
"3460, Vic",1232
"3461, Vic",1656
"3462, Vic",438
"3463, Vic",1234
"3464, Vic",435
"3465, Vic",3788
"3467, Vic",557
"3468, Vic",94
"3469, Vic",185
"3472, Vic",669
"3475, Vic",127
"3477, Vic",158
"3478, Vic",1293
"3480, Vic",706
"3482, Vic",166
"3483, Vic",287
"3485, Vic",91
"3490, Vic",466
"3491, Vic",170
"3494, Vic",280
"3496, Vic",2244
"3498, Vic",1803
"3500, Vic",12665
"3501, Vic",683
"3505, Vic",1750
"3507, Vic",164
"3509, Vic",83
"3512, Vic",246
"3515, Vic",335
"3516, Vic",287
"3517, Vic",665
"3518, Vic",626
"3520, Vic",121
"3521, Vic",265
"3522, Vic",161
"3523, Vic",1589
"3525, Vic",556
"3527, Vic",359
"3530, Vic",131
"3531, Vic",125
"3533, Vic",356
"3537, Vic",473
"3540, Vic",145
"3542, Vic",81
"3544, Vic",128
"3546, Vic",186
"3549, Vic",1375
"3550, Vic",16480
"3551, Vic",8262
"3555, Vic",7546
"3556, Vic",4573
"3557, Vic",225
"3558, Vic",430
"3559, Vic",236
"3561, Vic",1828
"3562, Vic",98
"3563, Vic",286
"3564, Vic",6011
"3566, Vic",219
"3567, Vic",243
"3568, Vic",1178
"3570, Vic",218
"3571, Vic",122
"3572, Vic",73
"3573, Vic",199
"3575, Vic",360
"3579, Vic",2222
"3580, Vic",362
"3581, Vic",113
"3584, Vic",496
"3586, Vic",270
"3588, Vic",113
"3589, Vic",115
"3590, Vic",141
"3591, Vic",102
"3594, Vic",225
"3595, Vic",254
"3596, Vic",66
"3597, Vic",222
"3608, Vic",1019
"3610, Vic",553
"3612, Vic",719
"3614, Vic",256
"3616, Vic",1958
"3617, Vic",111
"3618, Vic",266
"3620, Vic",3159
"3621, Vic",829
"3622, Vic",124
"3623, Vic",385
"3624, Vic",227
"3629, Vic",3615
"3630, Vic",11445
"3631, Vic",3493
"3633, Vic",221
"3634, Vic",615
"3635, Vic",249
"3636, Vic",2173
"3637, Vic",245
"3638, Vic",827
"3639, Vic",229
"3640, Vic",400
"3641, Vic",433
"3646, Vic",300
"3649, Vic",167
"3658, Vic",2219
"3659, Vic",309
"3660, Vic",3102
"3662, Vic",273
"3663, Vic",80
"3664, Vic",410
"3666, Vic",2108
"3669, Vic",458
"3670, Vic",272
"3672, Vic",4375
"3673, Vic",593
"3675, Vic",560
"3677, Vic",7221
"3678, Vic",2387
"3682, Vic",239
"3683, Vic",681
"3685, Vic",1007
"3687, Vic",360
"3688, Vic",452
"3690, Vic",12189
"3691, Vic",2732
"3694, Vic",142
"3695, Vic",158
"3697, Vic",246
"3698, Vic",385
"3699, Vic",476
"3700, Vic",476
"3701, Vic",412
"3705, Vic",173
"3707, Vic",722
"3709, Vic",147
"3711, Vic",99
"3712, Vic",158
"3713, Vic",430
"3714, Vic",1395
"3715, Vic",130
"3717, Vic",1157
"3719, Vic",215
"3720, Vic",208
"3722, Vic",1765
"3723, Vic",1218
"3725, Vic",125
"3726, Vic",344
"3727, Vic",137
"3728, Vic",233
"3730, Vic",3302
"3732, Vic",181
"3733, Vic",179
"3735, Vic",204
"3737, Vic",1736
"3739, Vic",153
"3740, Vic",403
"3741, Vic",1623
"3744, Vic",115
"3746, Vic",101
"3747, Vic",1691
"3749, Vic",656
"3750, Vic",185
"3751, Vic",122
"3752, Vic",6542
"3753, Vic",270
"3754, Vic",5894
"3755, Vic",102
"3756, Vic",3032
"3757, Vic",2715
"3758, Vic",684
"3759, Vic",383
"3760, Vic",139
"3761, Vic",367
"3763, Vic",482
"3764, Vic",2675
"3765, Vic",2311
"3766, Vic",479
"3767, Vic",479
"3770, Vic",1087
"3775, Vic",1262
"3777, Vic",4018
"3778, Vic",206
"3779, Vic",112
"3781, Vic",1505
"3782, Vic",2704
"3783, Vic",739
"3785, Vic",0
"3786, Vic",564
"3787, Vic",416
"3788, Vic",661
"3789, Vic",101
"3791, Vic",587
"3792, Vic",369
"3793, Vic",1288
"3795, Vic",425
"3796, Vic",3191
"3797, Vic",1186
"3799, Vic",2473
"3800, Vic",8
"3802, Vic",7959
"3803, Vic",3319
"3804, Vic",1883
"3805, Vic",17109
"3806, Vic",15291
"3807, Vic",2183
"3808, Vic",920
"3809, Vic",618
"3810, Vic",12614
"3812, Vic",765
"3813, Vic",355
"3814, Vic",682
"3815, Vic",999
"3816, Vic",744
"3818, Vic",4598
"3820, Vic",5554
"3821, Vic",921
"3822, Vic",361
"3823, Vic",691
"3824, Vic",1812
"3825, Vic",8472
"3831, Vic",536
"3832, Vic",158
"3833, Vic",132
"3835, Vic",186
"3840, Vic",6897
"3842, Vic",1829
"3844, Vic",10894
"3847, Vic",850
"3850, Vic",5812
"3851, Vic",1688
"3852, Vic",18
"3854, Vic",509
"3856, Vic",340
"3857, Vic",127
"3858, Vic",1157
"3859, Vic",332
"3860, Vic",2737
"3862, Vic",1217
"3864, Vic",156
"3865, Vic",164
"3869, Vic",539
"3870, Vic",600
"3871, Vic",1040
"3873, Vic",178
"3874, Vic",218
"3875, Vic",6767
"3878, Vic",302
"3880, Vic",1657
"3882, Vic",396
"3885, Vic",735
"3886, Vic",162
"3887, Vic",140
"3888, Vic",1601
"3889, Vic",137
"3890, Vic",87
"3891, Vic",94
"3892, Vic",502
"3895, Vic",80
"3896, Vic",182
"3898, Vic",375
"3900, Vic",102
"3902, Vic",161
"3903, Vic",286
"3904, Vic",513
"3909, Vic",3214
"3910, Vic",7671
"3911, Vic",1214
"3912, Vic",5177
"3913, Vic",1181
"3915, Vic",3620
"3916, Vic",215
"3918, Vic",1184
"3919, Vic",1088
"3920, Vic",93
"3921, Vic",48
"3922, Vic",2955
"3923, Vic",291
"3925, Vic",1318
"3926, Vic",1259
"3927, Vic",556
"3928, Vic",178
"3929, Vic",355
"3930, Vic",5993
"3931, Vic",9267
"3933, Vic",350
"3934, Vic",6028
"3936, Vic",3825
"3937, Vic",700
"3938, Vic",1077
"3939, Vic",5883
"3940, Vic",2129
"3941, Vic",4910
"3942, Vic",958
"3943, Vic",645
"3944, Vic",187
"3945, Vic",383
"3950, Vic",1842
"3951, Vic",354
"3953, Vic",2895
"3954, Vic",137
"3956, Vic",962
"3957, Vic",181
"3958, Vic",180
"3959, Vic",412
"3960, Vic",1013
"3962, Vic",506
"3965, Vic",95
"3966, Vic",284
"3971, Vic",1717
"3975, Vic",3523
"3976, Vic",7512
"3977, Vic",23106
"3978, Vic",413
"3979, Vic",264
"3980, Vic",1136
